,word,score,count,ratio
542,🥑,1,7,0.14285714285714285
760,🚆,1,2,0.5
249,🛋,1,2,0.5
531,🚁,1,3,0.3333333333333333
756,🚜,1,3,0.3333333333333333
755,🚹,1,2,0.5
146,📩,1,6,0.16666666666666666
247,🤱,1,3,0.3333333333333333
1107,📔,1,2,0.5
257,🌨,1,5,0.2
940,🏨,1,3,0.3333333333333333
1106,☣,1,5,0.2
947,🏑,1,3,0.3333333333333333
259,🚒,1,2,0.5
949,🌦,1,2,0.5
945,🛡,1,6,0.16666666666666666
1105,🥢,1,2,0.5
748,🤜,1,18,0.05555555555555555
245,🐆,1,2,0.5
496,🍴,1,6,0.16666666666666666
1117,♍,1,1,1.0
604,⛏,1,2,0.5
605,🏇,1,8,0.125
606,🗑,1,21,0.047619047619047616
972,🪂,1,4,0.25
204,🍸,1,7,0.14285714285714285
202,🗞,1,2,0.5
614,🏰,1,1,1.0
10,🚺,1,3,0.3333333333333333
695,🍣,1,1,1.0
619,👱,1,4,0.25
1017,🎓,1,10,0.1
688,✉,1,7,0.14285714285714285
626,🦃,1,7,0.14285714285714285
991,👂,1,13,0.07692307692307693
167,🏝,1,14,0.07142857142857142
632,🥼,1,2,0.5
186,™,1,57,0.017543859649122806
668,🦐,1,4,0.25
665,🥅,1,7,0.14285714285714285
1014,🔻,1,7,0.14285714285714285
1002,🦚,1,3,0.3333333333333333
646,Ⓜ,1,1,1.0
1004,🚰,1,1,1.0
1138,♎,1,2,0.5
1005,🦗,1,1,1.0
971,🪕,1,1,1.0
727,👟,1,16,0.0625
17,📘,1,8,0.125
210,🍯,1,6,0.16666666666666666
37,🔋,1,3,0.3333333333333333
720,♐,1,1,1.0
36,🦆,1,2,0.5
226,⏭,1,2,0.5
1118,♑,1,1,1.0
224,🚛,1,3,0.3333333333333333
1139,🐋,1,3,0.3333333333333333
223,📒,1,2,0.5
573,🔂,1,2,0.5
574,🎿,1,3,0.3333333333333333
575,🦸,1,4,0.25
221,🍋,1,8,0.125
31,🚑,1,4,0.25
1021,🆑,1,2,0.5
262,🆓,1,3,0.3333333333333333
30,📓,1,2,0.5
29,📬,1,3,0.3333333333333333
712,🔕,1,1,1.0
1121,🕴,1,3,0.3333333333333333
27,💈,1,3,0.3333333333333333
215,🛫,1,5,0.2
157,🆕,1,14,0.07142857142857142
1020,🍈,1,3,0.3333333333333333
595,🎷,1,9,0.1111111111111111
596,🕘,1,1,1.0
1126,🥚,1,2,0.5
964,🌆,1,3,0.3333333333333333
80,↩,1,2,0.5
143,📤,1,1,1.0
1049,🕓,1,1,1.0
1048,🖌,1,1,1.0
903,🏵,1,2,0.5
847,🧔,1,4,0.25
904,🗝,1,1,1.0
841,⛪,1,17,0.058823529411764705
836,🦟,1,1,1.0
1081,🍗,1,4,0.25
1083,🐽,1,4,0.25
408,🇾,1,17,0.058823529411764705
85,🌐,1,7,0.14285714285714285
410,🧑,1,3,0.3333333333333333
82,🦝,1,3,0.3333333333333333
81,🦘,1,1,1.0
174,🪁,1,1,1.0
414,🥩,1,7,0.14285714285714285
124,🚇,1,1,1.0
417,🟦,1,4,0.25
303,🥪,1,5,0.2
125,♒,1,3,0.3333333333333333
126,👥,1,3,0.3333333333333333
498,🌗,1,2,0.5
424,🛠,1,1,1.0
829,💇,1,6,0.16666666666666666
828,🤛,1,15,0.06666666666666667
825,⚛,1,2,0.5
1047,🚌,1,6,0.16666666666666666
853,🦼,1,1,1.0
74,💏,1,6,0.16666666666666666
1079,💊,1,7,0.14285714285714285
94,🐤,1,4,0.25
875,🦑,1,2,0.5
342,♓,1,15,0.06666666666666667
877,🎛,1,1,1.0
344,📋,1,5,0.2
874,🌖,1,2,0.5
347,🦹,1,2,0.5
352,🦦,1,2,0.5
353,🏧,1,1,1.0
1067,🍮,1,3,0.3333333333333333
870,🚵,1,3,0.3333333333333333
869,🏜,1,1,1.0
868,⚖,1,4,0.25
1068,📨,1,2,0.5
1069,🌰,1,2,0.5
864,🚿,1,3,0.3333333333333333
330,👚,1,3,0.3333333333333333
329,🌯,1,4,0.25
368,🏚,1,1,1.0
100,🌛,1,4,0.25
328,🏫,1,7,0.14285714285714285
99,🍤,1,2,0.5
98,❎,1,4,0.25
651,🥟,1,1,1.0
375,🧮,1,1,1.0
378,❌,1,52,0.019230769230769232
894,🥖,1,3,0.3333333333333333
382,🕥,1,4,0.25
384,⛰,1,2,0.5
812,🚥,1,1,1.0
908,🦩,1,1,1.0
1098,🔚,1,5,0.2
799,🐈,1,13,0.07692307692307693
775,🚡,1,1,1.0
282,🛥,1,2,0.5
797,🛂,1,2,0.5
461,🧲,1,2,0.5
462,🐨,1,8,0.125
58,🖊,1,3,0.3333333333333333
463,🦜,1,6,0.16666666666666666
924,🏸,1,2,0.5
774,⚕,1,6,0.16666666666666666
138,👿,1,20,0.05
788,🧗,1,1,1.0
279,🍼,1,11,0.09090909090909091
926,👤,1,6,0.16666666666666666
1034,😗,1,66,0.015151515151515152
1099,🚽,1,4,0.25
472,⏮,1,1,1.0
927,🦕,1,5,0.2
1100,🌂,1,3,0.3333333333333333
475,🥡,1,1,1.0
1038,😧,1,20,0.05
488,🛣,1,3,0.3333333333333333
798,◻,1,1,1.0
276,🚫,1,32,0.03125
72,🌫,1,3,0.3333333333333333
444,📇,1,1,1.0
923,🏹,1,8,0.125
290,🧳,1,3,0.3333333333333333
267,🦳,1,2,0.5
1087,🦂,1,2,0.5
808,🦥,1,5,0.2
809,🧶,1,4,0.25
266,🇼,1,6,0.16666666666666666
438,🐊,1,11,0.09090909090909091
773,📰,1,12,0.08333333333333333
142,🕰,1,6,0.16666666666666666
489,🎳,1,1,1.0
1037,🎋,1,5,0.2
803,📯,1,3,0.3333333333333333
268,🟧,1,1,1.0
768,🍄,2,14,0.14285714285714285
876,🎱,2,5,0.4
1031,☹,2,205,0.00975609756097561
792,🌌,2,18,0.1111111111111111
767,🍷,2,25,0.08
667,🍉,2,20,0.1
990,👸,2,20,0.1
784,🙇,2,45,0.044444444444444446
865,📄,2,3,0.6666666666666666
1057,📶,2,3,0.6666666666666666
660,📲,2,29,0.06896551724137931
867,😼,2,22,0.09090909090909091
993,🔮,2,27,0.07407407407407407
1016,❔,2,5,0.4
1059,🤯,2,168,0.011904761904761904
1064,🍐,2,4,0.5
1065,⏪,2,3,0.6666666666666666
1042,🗳,2,7,0.2857142857142857
752,⛷,2,6,0.3333333333333333
1044,🍔,2,12,0.16666666666666666
1084,🦮,2,4,0.5
817,🔭,2,8,0.25
819,🦾,2,5,0.4
962,🧢,2,43,0.046511627906976744
914,🌕,2,7,0.2857142857142857
921,📧,2,3,0.6666666666666666
734,👛,2,4,0.5
1113,🥃,2,26,0.07692307692307693
735,🥔,2,2,1.0
802,📮,2,2,1.0
1093,💳,2,5,0.4
801,🖥,2,5,0.4
691,📗,2,4,0.5
709,🎆,2,8,0.25
1122,🐑,2,3,0.6666666666666666
834,↪,2,6,0.3333333333333333
968,🧃,2,5,0.4
838,💿,2,5,0.4
946,🗼,2,3,0.6666666666666666
704,🚘,2,5,0.4
849,🕋,2,4,0.5
746,🥍,2,4,0.5
796,🌄,2,8,0.25
700,📊,2,16,0.125
793,🇿,2,20,0.1
892,🅾,2,8,0.25
978,🕊,2,45,0.044444444444444446
1026,🐗,2,5,0.4
1063,🇻,2,6,0.3333333333333333
1140,🦶,2,4,0.5
643,💂,2,5,0.4
535,🔧,2,2,1.0
240,🙉,2,13,0.15384615384615385
216,🛍,2,8,0.25
544,👵,2,5,0.4
213,🚙,2,2,1.0
427,⚫,2,19,0.10526315789473684
554,🎎,2,3,0.6666666666666666
211,📆,2,12,0.16666666666666666
523,🐏,2,4,0.5
196,📦,2,7,0.2857142857142857
565,🗡,2,8,0.25
577,🌔,2,2,1.0
578,🥧,2,6,0.3333333333333333
583,⚜,2,26,0.07692307692307693
166,🐚,2,10,0.2
164,🧤,2,5,0.4
600,☄,2,12,0.16666666666666666
163,🐄,2,5,0.4
184,🔸,2,13,0.15384615384615385
148,🦞,2,2,1.0
513,〽,2,3,0.6666666666666666
271,📡,2,2,1.0
418,🍞,2,9,0.2222222222222222
436,🔱,2,16,0.125
416,💑,2,2,1.0
442,🚕,2,2,1.0
374,🐵,2,9,0.2222222222222222
467,📅,2,11,0.18181818181818182
470,🧰,2,3,0.6666666666666666
349,◾,2,2,1.0
269,🌵,2,6,0.3333333333333333
327,⏳,2,19,0.10526315789473684
306,🍝,2,5,0.4
487,📺,2,50,0.04
491,🌬,2,17,0.11764705882352941
494,💉,2,23,0.08695652173913043
495,🧬,2,3,0.6666666666666666
304,🐙,2,6,0.3333333333333333
287,🦎,2,4,0.5
278,⬛,2,6,0.3333333333333333
648,🥜,2,8,0.25
144,🥗,2,8,0.25
546,🔙,2,4,0.5
96,🚊,2,3,0.6666666666666666
93,🍟,2,6,0.3333333333333333
111,🍁,2,14,0.14285714285714285
86,📢,2,52,0.038461538461538464
46,▪,2,14,0.14285714285714285
28,🚴,2,6,0.3333333333333333
642,☝,2,77,0.025974025974025976
75,🦙,2,2,1.0
637,🎯,2,57,0.03508771929824561
115,🥨,2,2,1.0
116,🍎,2,26,0.07692307692307693
54,🍚,2,2,1.0
133,♉,2,5,0.4
